time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Histogram,MACD,Signal
1646150400,35.29,35.6,35,35.05,NaN,NaN,NaN,NaN,NaN,34.998660127530556,34.704212782475835,35.01416141491475,35.88876741414305,56566,122255.5,44.170195348743285,62.238441685313795,NaN,NaN,52.94335777659035,59.68525345844665,NaN,NaN,-0.0458322827564856,0.3735178113153452,0.4193500940718308
1646154000,35.04,35.425,34.91,35.425,NaN,NaN,NaN,NaN,NaN,35.039263924908596,34.73247894786894,35.02229683244119,35.8841528130073,47534,117941.3,56.54623293688402,61.75693286766984,NaN,NaN,57.375509947307336,59.603475059020276,NaN,NaN,-0.04635381702581748,0.36140782278955896,0.40776163981537644
1646157600,35.39,35.47,34.71,34.97,NaN,NaN,NaN,NaN,NaN,35.032667360631585,34.74179349893291,35.02126125160077,35.875056765116675,114614,105658.2,43.04046259604939,60.25104814698502,NaN,NaN,51.088016027208575,59.04042728230514,NaN,NaN,-0.07700528298988157,0.3115050360780245,0.38851031906790606
1646161200,34.99,35.895,34.99,35.81,NaN,NaN,NaN,NaN,NaN,35.106699040571435,34.78368394995515,35.03687984067798,35.87440943412049,219439,110383.9,62.388914712559405,59.8049852612311,NaN,NaN,59.83819300672349,58.927864837458074,NaN,NaN,-0.04211542067107643,0.33586604322906055,0.377981463900137
1646164800,35.8,36.12,35.335,35.55,NaN,NaN,NaN,NaN,NaN,35.14891817956463,34.81373555976083,35.04704063591208,35.87118147955212,288870,117553.35,55.572156708543176,58.725519879800835,NaN,NaN,56.470723621161355,58.492970110917284,NaN,NaN,-0.03807794840324935,0.3303840283960753,0.36846197679932463
1646229600,35.73,35.73,34.56,34.62,NaN,NaN,NaN,NaN,NaN,35.09854501960609,34.80613808682903,35.038584385696005,35.8587319125914,103782,118634.45,38.16873613257723,56.11039306409585,NaN,NaN,46.409965356467545,57.16906197056643,NaN,NaN,-0.09626085488819791,0.24813590818907727,0.3443967630772752
1646233200,34.62,34.62,34.14,34.32,NaN,NaN,NaN,NaN,NaN,35.0243978748817,34.78707384812985,35.02435499191985,35.843421147291984,135375,120134.95,34.14450198141205,53.435170487328996,NaN,NaN,43.70500136053313,55.7371537993114,NaN,NaN,-0.149967719100719,0.15693711420137646,0.30690483330209545
1646236800,34.29,34.78,34.18,34.3,NaN,NaN,NaN,NaN,NaN,34.955407601083444,34.76797291290907,35.01001132871352,35.82806372294082,135770,119778.95,33.86678339663152,51.72077310260493,NaN,NaN,43.52287982931497,54.68545814150629,NaN,NaN,-0.17984293152768793,0.08210116889248553,0.26194410042017346
1646240400,34.3,34.545,34.28,34.5,NaN,NaN,NaN,NaN,NaN,34.912035448599305,34.75746417122637,34.999912094481566,35.81484915853345,129142,122963.05,39.59842725774219,50.238935904798595,NaN,NaN,45.9484988967967,53.73158004229107,NaN,NaN,-0.17876503385010684,0.038487808107539934,0.21725284195764677
1646244000,34.51,34.94,34.49,34.75,NaN,NaN,NaN,NaN,NaN,34.89660350111366,34.75717145862925,34.9949633401354,35.80425364451819,120835,118806.7,46.37601901509398,49.337512549722774,NaN,NaN,48.90271702349519,53.0268353617256,NaN,NaN,-0.15474450673430754,0.023822208539762357,0.1785667152740699
1646247600,34.765,34.945,34.56,34.65,NaN,NaN,NaN,NaN,NaN,34.87311745338855,34.75296865633007,34.98813238290499,35.79276853362746,167700,122414.15,44.06841457295357,47.93356033888624,NaN,NaN,47.77783762280681,52.10563513870935,NaN,NaN,-0.13958666798641606,0.004083380291049821,0.14367004827746588
1646251200,34.64,34.89,34.61,34.61,NaN,NaN,NaN,NaN,NaN,34.848058648303926,34.74736204235634,34.98064461294648,35.780999692496835,222953,126351.15,43.06833903382069,46.2498292339245,NaN,NaN,47.30906524133753,51.06292707186724,NaN,NaN,-0.12663118348214802,-0.014618931075219166,0.11201225240692886
1646316000,34.82,35.15,34.555,34.8,NaN,NaN,NaN,NaN,NaN,34.843481634179746,34.74942627598943,34.97706749189803,35.77123850152672,59551,125042.65,49.42828543850369,45.91332867251914,NaN,NaN,49.82721761288163,50.5392457491748,NaN,NaN,-0.10076855909665147,-0.013948446463885489,0.08682011263276598
1646319600,34.75,34.82,33.98,34,NaN,NaN,NaN,NaN,NaN,34.763150049972154,34.720037010264356,34.95771962077134,35.753614237829936,129839,125645,31.91473962636418,44.45372919699129,NaN,NaN,40.95261676609388,49.433685720622705,NaN,NaN,-0.13112156624263302,-0.0770818451705253,0.05403972107210773
