id,created_at,text
1513288055146225671,2022-04-10T22:49:22.000Z,@JeffBezos Great idea
1513283265318191106,2022-04-10T22:30:20.000Z,@BLKMDL3 Coming soon
1513233496893915138,2022-04-10T19:12:34.000Z,@tesla_raj Exciting times ahead
1513200041518768133,2022-04-10T16:59:38.000Z,@pmarca Disconnected from what it takes to make stuff
1513199588454264832,2022-04-10T16:57:50.000Z,@teslaownersSV I’m serious about this one btw
1512974273606045702,2022-04-10T02:02:31.000Z,@sweatystartup Exactly
1512964005060657156,2022-04-10T01:21:42.000Z,"@PPathole Price should probably be ~$2/month, but paid 12 months up front &amp; account doesn’t get checkmark for 60 days (watch for CC chargebacks) &amp; suspended with no refund if used for scam/spam"
1512958155508043782,2022-04-10T00:58:28.000Z,@PPathole It should go away or scammers will game the system by signing up only for a few months
1512954808394731521,2022-04-10T00:45:10.000Z,@GonzaAbalos Maybe even an option to pay in Doge?
1512951272437174279,2022-04-10T00:31:07.000Z,"@GonzaAbalos Yes, should be proportionate to affordability &amp; in local currency"
1512949011510140936,2022-04-10T00:22:08.000Z,@BLKMDL3 Exactly. It would massively expand the verified pool &amp; make bot armies too expensive to maintain.
1512945536969678851,2022-04-10T00:08:19.000Z,"@michaeljburry You will get it back, even though you shorted Tesla, you bastard 🤣"
1512944276983975936,2022-04-10T00:03:19.000Z,Weather is fake. I seen Truman Show!
1512912532633235456,2022-04-09T21:57:10.000Z,@teslaownersSV The resemblance is uncanny https://t.co/egFdUWso7Q
1512900245507776515,2022-04-09T21:08:21.000Z,"@LPofMN As the saying goes, when the government first prints money, everyone feels like a winner, but in the end no one does"
1512895884719267844,2022-04-09T20:51:01.000Z,"@siddarthpaim Fake news purveyors would have hysterics, but a ratings system would improve quality of news greatly"
1512895152288935946,2022-04-09T20:48:07.000Z,@universal_sci All of Earth is a tiny dust mote compared to the Sun
1512892870272991236,2022-04-09T20:39:03.000Z,@UKSAguy @RubinReport Yes
1512887644128260109,2022-04-09T20:18:17.000Z,@JohnnaCrider1 .@Beeple is 🔥🔥
1512886651940491270,2022-04-09T20:14:20.000Z,69.420% of statistics are false
1512886157876600833,2022-04-09T20:12:22.000Z,Truth is the first casualty. https://t.co/cN9PIfDvjr
1512865842194751495,2022-04-09T18:51:39.000Z,@Jason @justinbieber Yeah
1512813698011836422,2022-04-09T15:24:26.000Z,RT @Tesla: Thank you to everyone who came out to celebrate the first Giga Texas deliveries and party with us. Yeehaw! https://t.co/w4LJR79l…
1512803599184707588,2022-04-09T14:44:19.000Z,@WholeMarsBlog @jspeedymorris22 @darrenrovell Absolutely
1512803293495533575,2022-04-09T14:43:06.000Z,@JohnnaCrider1 @jspeedymorris22 @darrenrovell 💯
1512802419301826575,2022-04-09T14:39:37.000Z,@jspeedymorris22 @darrenrovell Now subtract crypto scam accounts that twitter constantly shows as “real” people in everyone’s feed
1512787864458870787,2022-04-09T13:41:47.000Z,RT @SpaceX: Docking confirmed! https://t.co/YPyF3aRwO7
1512786909315096579,2022-04-09T13:38:00.000Z,And @justinbieber only posted once this entire year
1512786361983676424,2022-04-09T13:35:49.000Z,"For example, @taylorswift13 hasn’t posted anything in 3 months"
1512785529712123906,2022-04-09T13:32:31.000Z,"Most of these “top” accounts tweet rarely and post very little content. 

Is Twitter dying? https://t.co/lj9rRXfDHE"
1512771744720994304,2022-04-09T12:37:44.000Z,Interesting https://t.co/LmviLXMkHK
1512769239467319311,2022-04-09T12:27:47.000Z,RT @SpaceX: Watch Dragon and the @Axiom_Space Ax-1 crew dock with the @space_station → https://t.co/N3MHSxCS0k  https://t.co/QkDJTTXqvK
1512769021921353729,2022-04-09T12:26:55.000Z,RT @Space_Station: The @SpaceX Dragon Endeavour with four @Axiom_Space astronauts is holding 20 meters away from the station as the station…
1512559449369686022,2022-04-08T22:34:09.000Z,@pmarca Lmaooo
1512557351164952576,2022-04-08T22:25:49.000Z,@waitbutwhy It’s a real problem
1512556294892408832,2022-04-08T22:21:37.000Z,@PPathole @stats_feed We have some cool ideas for sustainable lithium extraction &amp; refinement
1512513711164071952,2022-04-08T19:32:24.000Z,@PPathole @stats_feed True
1512505545416224783,2022-04-08T18:59:57.000Z,"@stats_feed Price of lithium has gone to insane levels! Tesla might actually have to get into the mining &amp; refining directly at scale, unless costs improve.

There is no shortage of the element itself, as lithium is almost everywhere on Earth, but pace of extraction/refinement is slow."
1512504708254081047,2022-04-08T18:56:38.000Z,@EvaFoxU @vincent13031925 Team did amazing work!
1512499549310443523,2022-04-08T18:36:08.000Z,@teslaownersSV I mean … that’s a lot of hamsters 🐹
1512499161891020805,2022-04-08T18:34:35.000Z,RT @NASA: This takes commerce to a whole new level. @Axiom_Space's #Ax1 mission is on its way to the @Space_Station in @SpaceX's Dragon End…
1512497620727607306,2022-04-08T18:28:28.000Z,@Rainmaker1973 Smooth video courtesy of bolting Starlinks to the deck. They are able to handle high vibration &amp; acoustics.
1512496527452913674,2022-04-08T18:24:07.000Z,@teslaownersSV Master Chief would love it haha
1512495067738615814,2022-04-08T18:18:19.000Z,@Dr_ThomasZ @SpaceX Flight-proven!
1512494495979421701,2022-04-08T18:16:03.000Z,RT @SpaceX: Ax-1 on orbit https://t.co/tpY8qtSaJj
1512494444100132865,2022-04-08T18:15:50.000Z,RT @SpaceX: Falcon 9 launches the first all-private human spaceflight mission to the @space_station https://t.co/krDfQyaVTO
1512397197219876873,2022-04-08T11:49:25.000Z,RT @SpaceX: All systems are looking good for tomorrow’s Falcon 9 launch of the @Axiom_Space Ax-1 mission to the @space_station; teams are k…
1512382427876007940,2022-04-08T10:50:44.000Z,"Great work by Tesla Texas Team!!

Built &amp; delivered first Giga Texas production cars &amp; threw a killer opening party 💥💫 🚘"
1512244590874710023,2022-04-08T01:43:01.000Z,Show starts in ~20 mins https://t.co/VVT69WSkNH
1512208667608850435,2022-04-07T23:20:16.000Z,"RT @NetflixFilm: RETURN TO SPACE
(On Netflix April 7)
Elon Musk and SpaceX engineers embark on a historic mission to return NASA astronauts…"
1512177237738536960,2022-04-07T21:15:23.000Z,@Erdayastronaut @netflix @NASA @SpaceX @JimBridenstine @AstroBehnken @Astro_Doug @Gwynne_Shotwell Cool!
1511982702819520512,2022-04-07T08:22:22.000Z,https://t.co/TW2lLQakE5
1511982141965586434,2022-04-07T08:20:08.000Z,https://t.co/wcW6Z1MNNd
1511978315372019714,2022-04-07T08:04:56.000Z,@DBurkland @Tesla @gg4175 @TeslaChillMode @TeslaOwnersEBay @teslaownersSV @BLKMDL3 @MFrunker The door won’t be super strict
1511951232117604354,2022-04-07T06:17:19.000Z,https://t.co/ft2zujMvkK
1511950918366814211,2022-04-07T06:16:04.000Z,Preparing … https://t.co/Rb21R1ZDhN
1511950430539902976,2022-04-07T06:14:07.000Z,https://t.co/wvJ66Yr1Wj
1511940411685801984,2022-04-07T05:34:19.000Z,I will give a talk around 9
1511939175934742531,2022-04-07T05:29:24.000Z,"🇺🇸🇺🇸 Gigafactory Texas 🇺🇸🇺🇸

Grand opening party tomorrow!

Doors open at 4, festivities at 8"
1511821793933373448,2022-04-06T21:42:58.000Z,@remedygames Great games
1511806019915198487,2022-04-06T20:40:17.000Z,@StockMKTNewz No sale took place. Initial share number filed was incorrect.
1511805526610485253,2022-04-06T20:38:20.000Z,@Teslarati @KlenderJoey …
1511682606319947777,2022-04-06T12:29:53.000Z,@RealWheelieman @WholeMarsBlog Increasingly likely that the Tesla vehicle computer will be able to process 288 FPS (36 Hz * 8 cameras)
1511681820437450755,2022-04-06T12:26:46.000Z,@RealWheelieman @WholeMarsBlog 10.12 will significantly improve unprotected left turns
1511680889331331072,2022-04-06T12:23:04.000Z,"@Rainmaker1973 The power used by humans is so tiny compared to how much power from the Sun reaches Earth!

Solar power is ~1GW per sq km. At current solar efficiency, net electrical power is ~200 MW per square km.

The entire United States can be powered by a small corner of Texas."
1511562956588343298,2022-04-06T04:34:26.000Z,"RT @SpaceX: Falcon 9 and Dragon vertical at 39A; targeting Friday, April 8 for launch of Ax-1 → https://t.co/sIz9U6NRxT https://t.co/NSJqo3…"
1511455000391729155,2022-04-05T21:25:28.000Z,@pmarca @skepticaliblog Yikes
1511418378057142275,2022-04-05T18:59:56.000Z,@pmarca WaPo always good for a laugh 🤣🤣
1511416821789995011,2022-04-05T18:53:45.000Z,@jack Thanks Jack!
1511322655609303043,2022-04-05T12:39:34.000Z,@paraga Looking forward to working with Parag &amp; Twitter board to make significant improvements to Twitter in coming months!
1511230314902953984,2022-04-05T06:32:39.000Z,"@PPathole @Erdayastronaut Yeah, single most annoying problem on twitter imo"
1511216790218895361,2022-04-05T05:38:54.000Z,@Erdayastronaut That sounds reasonable
1511206240667455489,2022-04-05T04:56:59.000Z,@boztank @Liz_Wheeler Facebook gives me the willies
1511193789737672707,2022-04-05T04:07:30.000Z,@OstynHyss @stevenmarkryan That is harder than a boss battle in DS3!
1511192616662093830,2022-04-05T04:02:51.000Z,"@stevenmarkryan I mean, if the people vote overwhelmingly for something, it is at least *a* data point!"
