,time,open,high,low,close,Basis,Upper,Lower,EMA,Smoothing Line,Plot,Plot.1,Plot.2,Plot.3,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,RSI.1,RSI-based MA.1,Upper Bollinger Band.1,Lower Bollinger Band.1,Histogram,MACD,Signal,datetime,year,month,day,hour,date
0,1646150400,35.29,35.6,35.0,35.05,,,,,,34.99866012753056,34.704212782475835,35.01416141491475,35.88876741414305,56566,122255.5,44.170195348743285,62.2384416853138,,,52.94335777659035,59.68525345844665,,,-0.0458322827564856,0.3735178113153452,0.4193500940718308,2022-03-02 00:00:00,2022,4,8,19,2022-3-2
7,1646236800,34.29,34.78,34.18,34.3,,,,,,34.955407601083444,34.76797291290907,35.01001132871352,35.82806372294082,135770,119778.95,33.86678339663152,51.72077310260493,,,43.52287982931497,54.68545814150629,,,-0.1798429315276879,0.0821011688924855,0.2619441004201734,2022-03-03 00:00:00,2022,4,9,2,2022-3-3
14,1646323200,34.01,34.25,33.78,34.21,,,,,,34.71046909283195,34.70003555888144,34.94291329164716,35.73825489217989,164779,129789.6,38.57954765616573,44.05439721895005,,,43.78311545130388,48.77938269738796,,,-0.1303635943357388,-0.1089147718475658,0.021448822488173,2022-03-04 00:00:00,2022,4,11,22,2022-3-4
22,1646409600,33.15,33.32,32.965,33.04,,,,,,33.98087692462823,34.35146684683397,34.720900342331674,35.56220907601047,109180,143483.3,28.300324169966103,34.81548785859837,,,35.1492173694695,41.25865200141288,,,-0.1489247234745819,-0.436642241227922,-0.2877175177533401,2022-03-05 00:00:00,2022,4,12,19,2022-3-5
27,1646661600,33.23,33.88,33.08,33.51,,,,,,33.759675512969686,34.182598951937784,34.59714299152725,35.45776655087682,122027,132517.8,48.21229202348059,35.18038702941344,,,44.162072376658166,39.58391686464785,,,-0.005613669111297,-0.3607721860056401,-0.3551585168943431,2022-03-07 22:00:00,2022,4,13,0,2022-3-7
29,1646668800,32.91,33.45,32.9,33.175,,,,,,33.62733074871215,34.09362940546045,34.535458137433444,35.409559743107174,108221,131689.9,43.0199711439593,35.46251935479973,,,41.90065825526868,39.17724777316575,,,-0.0134736534761228,-0.3783130007513975,-0.3648393472752746,2022-03-08 00:00:00,2022,4,13,2,2022-3-8
37,1646755200,32.94,33.05,32.54,32.86,,,,,,33.137618850532164,33.72787243424995,34.27382098659685,35.206626891501365,84235,127483.05,48.04826006641896,40.50963130929008,,,43.92989872667336,40.57018385852241,,,0.0032643204851249,-0.3994132362343592,-0.4026775567194841,2022-03-09 00:00:00,2022,4,14,0,2022-3-9
44,1646841600,34.45,34.45,33.99,34.18,,,,,,33.38629809874759,33.691706756025,34.18099071796133,35.094976260188496,57670,127925.7,64.31808181037277,47.92155603427212,,,57.3481270211353,45.598726832669726,,,0.2157104186780084,0.0162796345973674,-0.1994307840806409,2022-03-10 00:00:00,2022,4,14,21,2022-3-10
51,1646928000,33.78,34.04,33.62,34.03,,,,,,33.74808557521098,33.79668448074416,34.173961907767804,35.02973912403056,54872,118859.1,55.1741768570333,58.71341022552185,,,54.09829464865021,53.88659080875833,,,0.0815451731637087,0.1742254109269438,0.0926802377632351,2022-03-11 00:00:00,2022,4,15,4,2022-3-11
59,1647014400,33.5,33.51,33.2,33.34,,,,,,33.772490699519814,33.80757079813355,34.126182790690045,34.9396464449934,98246,109273.5,39.1265306841272,54.25367542837372,,,45.01684563052833,53.26818413714964,,,-0.0873789670447585,0.0236880907751739,0.1110670578199325,2022-03-12 00:00:00,2022,4,19,2,2022-3-12
64,1647262800,32.65,33.68,32.48,33.04,,,,,,33.54156382483937,33.697158844753375,34.038305111090054,34.85504024728354,151052,111077.85,35.290597436779464,46.50950478069353,,,42.20262643317795,49.003963604475935,,,-0.117253269213878,-0.1400048982153805,-0.0227516290015025,2022-03-14 21:00:00,2022,4,19,20,2022-3-14
67,1647273600,33.3,33.31,32.98,32.98,,,,,,33.46289777287261,33.64639807409209,33.99249318498727,34.807702241213725,111790,119064.1,37.54909865048129,43.84907122927172,,,42.553500777803166,47.08087917039736,,,-0.0746201679133909,-0.153581090086881,-0.07896092217349,2022-03-15 00:00:00,2022,4,19,23,2022-3-15
75,1647360000,33.96,33.97,33.69,33.76,,,,,,33.49728030063598,33.5974978422837,33.911998034586205,34.70240389148324,77419,116205.7,56.8059116770801,47.2545747761442,,,53.35827270458597,47.3894381593387,,,0.0967416609809,0.0183389115376968,-0.0784027494432032,2022-03-16 00:00:00,2022,4,20,22,2022-3-16
82,1647446400,35.22,35.225,34.74,34.88,,,,,,34.07887382226142,33.83975767849642,33.99766386089452,34.69255668118366,160709,130806.8,66.0143689950042,61.7295367018595,,,62.11204676304675,56.01925015347039,,,0.1945271656294503,0.3725712652308388,0.1780440996013884,2022-03-17 00:00:00,2022,4,21,5,2022-3-17
90,1647532800,37.22,37.59,37.18,37.54,,,,,,35.37091831286049,34.51340820415296,34.331770481380595,34.81123426320907,117147,132900.9,89.38949953375271,76.13631385610746,,,79.7527868044361,67.90728312017932,,,0.2905124062791259,0.8974676127363068,0.6069552064571809,2022-03-18 00:00:00,2022,4,22,0,2022-3-18
100,1647619200,38.54,38.76,38.38,38.62,,,,,,37.02193651615216,35.628821620832646,34.97284484354837,35.100824605284565,199312,151026.4,73.9408144412634,80.07824875386824,,,73.69907213196001,75.65326348559176,,,0.092490890348464,1.0602831101001158,0.9677922197516516,2022-03-19 00:00:00,2022,4,23,0,2022-3-19
104,1647860400,37.6,37.6,37.6,37.6,,,,,,37.367432184745375,35.99407213453047,35.213954300408325,35.218964424246494,100,168223.3,45.1559449409136,71.6387394920075,,,57.54469987877134,72.00327481425892,,,-0.1099180117819911,0.8472361484778688,0.95715416025986,2022-03-21 19:00:00,2022,4,23,4,2022-3-21
108,1647878400,37.67,37.765,37.13,37.13,,,,,,37.33977534951076,36.18403839815157,35.372566548628406,35.299621179147174,119506,154443.35,40.79415056444223,60.42002508133344,,,51.00598410777897,65.31969323749713,,,-0.2406047412898964,0.4986025440457311,0.7392072853356275,2022-03-22 00:00:00,2022,4,25,20,2022-3-22
